pop	name	pca1	pca2	region
AQ	AQ01	0.0320317	-0.0109098	EAD
AQ	AQ02	0.0230976	-0.0134201	EAD
AQ	AQ03	0.0317768	-0.0148864	EAD
AQ	AQ06	0.0254127	-0.0114523	EAD
AQ	AQ08	0.0349478	-0.0194625	EAD
AQ	AQ10	0.0210094	-0.0145519	EAD
AW	AW01	-0.0525147	0.00649198	EAW
AW	AW02	-0.0526596	0.00694658	EAW
AW	AW03	-0.0266844	0.00651682	EAW
AW	AW04	-0.0517796	0.00500549	EAW
AW	AW05	-0.0508609	0.00598753	EAW
AW	AW06	0.00751791	0.0036888	EAW
BKS	BKS01	0.111437	0.00736601	WED
BKS	BKS02	0.110769	0.0064712	WED
BKS	BKS03	0.113816	0.00630242	WED
BKS	BKS04	0.114435	0.00669711	WED
BKS	BKS05	0.114841	0.00709953	WED
BKS	BKS06	0.110322	0.00845649	WED
BKS	BKS07	0.110607	0.00941339	WED
BKS	BKS08	0.108549	0.011027	WED
BM	BM01	-0.0429638	-0.054688	EAD
BM	BM02	-0.0418346	-0.0561318	EAD
BM	BM03	-0.0444143	-0.0554	EAD
BM	BM04	-0.0419141	-0.0554854	EAD
BM	BM05	-0.047245	-0.0594193	EAD
BM	BM06	-0.0515956	-0.0640174	EAD
BM	BM07	-0.051606	-0.0646536	EAD
BM	BM08	-0.0340115	-0.0535889	EAD
BM	BM09	-0.0324293	-0.0545605	EAD
BM	BM10	-0.0288692	-0.0452289	EAD
BMA	BMA01	-0.0582315	0.101278	EAD
BMA	BMA02	-0.0616136	0.106591	EAD
BMA	BMA03	-0.0564439	0.097767	EAD
BMA	BMA04	-0.058395	0.101076	EAD
BMA	BMA05	-0.0601871	0.105201	EAD
BMA	BMA06	-0.0464508	0.0924248	EAD
BMA	BMA07	-0.0643468	0.104118	EAD
BMA	BMA08	-0.0592211	0.105215	EAD
BMA	BMA09	-0.0619639	0.105135	EAD
BMA	BMA10	-0.0598915	0.0953579	EAD
BMA	BMA11	-0.0598199	0.103458	EAD
DRC	DRC01	0.109539	0.0156912	WED
DRC	DRC02	0.107857	0.0157413	WED
DRC	DRC03	0.108494	0.0162261	WED
DRC	DRC04	0.109721	0.014982	WED
DRC	DRC05	0.110952	0.0155294	WED
DRC	DRC06	0.1103	0.0150049	WED
DRC	DRC07	0.108182	0.0147651	WED
DRC	DRC08	0.10758	0.0164898	WED
DRC	DRC09	0.109604	0.0145267	WED
DRC	DRC10	0.108096	0.0164324	WED
EW	EW01	0.109167	0.00173622	WEW
GEH	GEH01	-0.0474789	0.0911229	EAD
GEH	GEH02	-0.0542255	0.0943691	EAD
GEH	GEH03	-0.0584623	0.0866997	EAD
GEH	GEH04	-0.0458545	0.093875	EAD
GEH	GEH05	-0.0628882	0.0972917	EAD
GEH	GEH06	-0.0606755	0.0993899	EAD
GEH	GEH07	-0.0646318	0.0990488	EAD
